Country;Economic status1;Coastal population2;Waste generation rate [kg/person/day]3;% Plastic in waste stream4;% Inadequately managed waste5;% Littered waste6;Waste generation [kg/day]7;Plastic waste generation [kg/day]7;Inadequately managed plastic waste [kg/day]7;"Plastic waste littered
 [kg/day]7";Mismanaged plastic waste [kg/person/day]7;"Mismanaged plastic waste in 2010
 [tonnes]7";"Mismanaged plastic waste in 2025
 [tonnes]7";Per capita plastic waste (kilograms per person per day)
Canada;HIC;11.846.863;2.33;4;0;2;27.603.191;1.090.326;0;21.807;2,000;7.959;14.668;93
Cape Verde;LMI;522.245;0.5;13;74;2;261.123;33.815;24.933;676;49,000;9.347;18.475;65
Cayman Islands;HIC;51.864;2.1;12;0;2;108.914;13.015;0;260;5,000;95;134;252
Channel Islands;HIC;153.352;2.1;12;0;2;322.039;38.484;0;770;5,000;281;355;252
Chile;UMI;5.621.550;1.08;11;7;2;6.071.274;664.805;46.304;13.296;11,000;21.754;42.562;119
China;UMI;262.892.387;1.1;11;74;2;289.181.626;31.665.388;23.530.300;633.308;92,000;8.819.717;17.814.777;121
Christmas Island;HIC;1.402;2.1;12;0;2;2.944;352;0;7;5,000;3;4;252
Cocos Islands;HIC;596;2.1;12;0;2;1.252;150;0;3;5,000;1;2;252
Colombia8;UMI;7.498.563;1.2;12;21;2;8.998.276;1.075.294;231.024;21.506;34,000;92.173;179.973;144
Comoros;LI;938.595;2.23;9;83;2;2.093.067;187.329;155.246;3.747;169,000;58.032;100.870;201
Congo;LMI;847.807;0.53;13;77;2;449.338;58.189;44.769;1.164;54,000;16.766;39.853;69
Cook Islands;UMI;20.934;1.2;12;36;2;25.121;3.002;1.079;60;54,000;416;784;144
Costa Rica;UMI;2.479.298;1.36;19;16;2;3.371.845;638.965;102.536;12.779;47,000;42.090;75.895;258
Cote d'Ivoire8;LMI;6.230.583;0.79;13;82;2;4.922.161;637.420;520.288;12.748;86,000;194.558;537.163;103
Croatia8;HIC;1.602.782;2.1;12;9;2;3.365.842;402.218;37.053;8.044;28,000;16.461;19.593;252
Cuba;UMI;11.333.471;0.81;11;23;2;9.180.112;1.005.222;228.196;20.104;22,000;90.630;180.454;89
Curacao;HIC;143.784;2.1;12;0;2;301.946;36.083;12;722;5,000;268;378;252
Cyprus;HIC;840.556;2.07;12;0;2;1.739.951;207.924;831;4.158;6,000;1.821;2.611;248
Democratic Republic of Congo;LI;1.076.056;0.5;9;85;2;538.028;48.154;40.703;963;39,000;15.208;43.480;45
